id,"key","table_name","created_at","updated_at"
1,"browse_admin",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
2,"browse_bread",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
3,"browse_database",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
4,"browse_media",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
5,"browse_compass",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
6,"browse_menus","menus","2018-05-14 19:15:44","2018-05-14 19:15:44"
7,"read_menus","menus","2018-05-14 19:15:44","2018-05-14 19:15:44"
8,"edit_menus","menus","2018-05-14 19:15:44","2018-05-14 19:15:44"
9,"add_menus","menus","2018-05-14 19:15:44","2018-05-14 19:15:44"
10,"delete_menus","menus","2018-05-14 19:15:44","2018-05-14 19:15:44"
11,"browse_roles","roles","2018-05-14 19:15:44","2018-05-14 19:15:44"
12,"read_roles","roles","2018-05-14 19:15:44","2018-05-14 19:15:44"
13,"edit_roles","roles","2018-05-14 19:15:44","2018-05-14 19:15:44"
14,"add_roles","roles","2018-05-14 19:15:44","2018-05-14 19:15:44"
15,"delete_roles","roles","2018-05-14 19:15:44","2018-05-14 19:15:44"
16,"browse_users","users","2018-05-14 19:15:44","2018-05-14 19:15:44"
17,"read_users","users","2018-05-14 19:15:44","2018-05-14 19:15:44"
18,"edit_users","users","2018-05-14 19:15:44","2018-05-14 19:15:44"
19,"add_users","users","2018-05-14 19:15:44","2018-05-14 19:15:44"
20,"delete_users","users","2018-05-14 19:15:44","2018-05-14 19:15:44"
21,"browse_settings","settings","2018-05-14 19:15:44","2018-05-14 19:15:44"
22,"read_settings","settings","2018-05-14 19:15:44","2018-05-14 19:15:44"
23,"edit_settings","settings","2018-05-14 19:15:44","2018-05-14 19:15:44"
24,"add_settings","settings","2018-05-14 19:15:44","2018-05-14 19:15:44"
25,"delete_settings","settings","2018-05-14 19:15:44","2018-05-14 19:15:44"
26,"browse_hooks",NULL,"2018-05-14 19:15:44","2018-05-14 19:15:44"
27,"browse_campus","campus","2018-05-15 08:31:34","2018-05-15 08:31:34"
28,"read_campus","campus","2018-05-15 08:31:34","2018-05-15 08:31:34"
29,"edit_campus","campus","2018-05-15 08:31:34","2018-05-15 08:31:34"
30,"add_campus","campus","2018-05-15 08:31:34","2018-05-15 08:31:34"
31,"delete_campus","campus","2018-05-15 08:31:34","2018-05-15 08:31:34"
32,"browse_buildings","buildings","2018-05-17 13:15:16","2018-05-17 13:15:16"
33,"read_buildings","buildings","2018-05-17 13:15:16","2018-05-17 13:15:16"
34,"edit_buildings","buildings","2018-05-17 13:15:16","2018-05-17 13:15:16"
35,"add_buildings","buildings","2018-05-17 13:15:16","2018-05-17 13:15:16"
36,"delete_buildings","buildings","2018-05-17 13:15:16","2018-05-17 13:15:16"
52,"browse_problem_reports","problem_reports","2018-05-18 12:41:14","2018-05-18 12:41:14"
53,"read_problem_reports","problem_reports","2018-05-18 12:41:14","2018-05-18 12:41:14"
54,"edit_problem_reports","problem_reports","2018-05-18 12:41:14","2018-05-18 12:41:14"
55,"add_problem_reports","problem_reports","2018-05-18 12:41:14","2018-05-18 12:41:14"
56,"delete_problem_reports","problem_reports","2018-05-18 12:41:14","2018-05-18 12:41:14"
